"subject" "activity" "MeanSamples"
1 "LAYING" -0.581856874365994
1 "SITTING" -0.654487715565923
1 "STANDING" -0.666037806243054
1 "WALKING" -0.175395549022228
1 "WALKING_DOWNSTAIRS" -0.102352691553679
1 "WALKING_UPSTAIRS" -0.28077954259639
2 "LAYING" -0.642483070349754
2 "SITTING" -0.666655090308538
2 "STANDING" -0.654299063091318
2 "WALKING" -0.305665397332725
2 "WALKING_DOWNSTAIRS" -0.0600471702574341
2 "WALKING_UPSTAIRS" -0.237053882091219
3 "LAYING" -0.633835036607427
3 "SITTING" -0.637579099974963
3 "STANDING" -0.62681345739081
3 "WALKING" -0.298276938371449
3 "WALKING_DOWNSTAIRS" -0.184458988261808
3 "WALKING_UPSTAIRS" -0.323158201075995
4 "LAYING" -0.628240153548999
4 "SITTING" -0.647427847260796
4 "STANDING" -0.620166430830635
4 "WALKING" -0.371350100861401
4 "WALKING_DOWNSTAIRS" -0.232858001468653
4 "WALKING_UPSTAIRS" -0.306410338989651
5 "LAYING" -0.638501995290852
5 "SITTING" -0.647742172802231
5 "STANDING" -0.613200451408739
5 "WALKING" -0.271580169679854
5 "WALKING_DOWNSTAIRS" -0.102711218596946
5 "WALKING_UPSTAIRS" -0.210848982379019
6 "LAYING" -0.614265360580676
6 "SITTING" -0.646227831733794
6 "STANDING" -0.637749236992917
6 "WALKING" -0.212760474429076
6 "WALKING_DOWNSTAIRS" 0.0439840163458744
6 "WALKING_UPSTAIRS" -0.157298473450079
7 "LAYING" -0.623500989141986
7 "SITTING" -0.642020729321667
7 "STANDING" -0.640364780298851
7 "WALKING" -0.166886915663557
7 "WALKING_DOWNSTAIRS" -0.117424548639117
7 "WALKING_UPSTAIRS" -0.327584588622338
8 "LAYING" -0.622072094676528
8 "SITTING" -0.656897882272618
8 "STANDING" -0.649722276185931
8 "WALKING" -0.143246496815316
8 "WALKING_DOWNSTAIRS" 0.0437554607314297
8 "WALKING_UPSTAIRS" -0.114836800233156
9 "LAYING" -0.625756264063887
9 "SITTING" -0.634306983030179
9 "STANDING" -0.634050709140567
9 "WALKING" -0.267600162589343
9 "WALKING_DOWNSTAIRS" -0.115346264814377
9 "WALKING_UPSTAIRS" -0.317212961872854
10 "LAYING" -0.650686071309822
10 "SITTING" -0.666425046007576
10 "STANDING" -0.636146571835577
10 "WALKING" -0.189296475631276
10 "WALKING_DOWNSTAIRS" -0.0623333329423449
10 "WALKING_UPSTAIRS" -0.181602889765616
11 "LAYING" -0.638664653224145
11 "SITTING" -0.659613216215418
11 "STANDING" -0.661719552300991
11 "WALKING" -0.358434615746761
11 "WALKING_DOWNSTAIRS" -0.172647667881801
11 "WALKING_UPSTAIRS" -0.335575338389478
12 "LAYING" -0.62719441075958
12 "SITTING" -0.657353544212716
12 "STANDING" -0.633988050254368
12 "WALKING" -0.237287715878516
12 "WALKING_DOWNSTAIRS" -0.131825864527046
12 "WALKING_UPSTAIRS" -0.318871801239237
13 "LAYING" -0.630703210356461
13 "SITTING" -0.664564208166265
13 "STANDING" -0.656684289190487
13 "WALKING" -0.192914334552621
13 "WALKING_DOWNSTAIRS" -0.123476627234852
13 "WALKING_UPSTAIRS" -0.295855430414176
14 "LAYING" -0.606679160183787
14 "SITTING" -0.659677632851348
14 "STANDING" -0.648172547893824
14 "WALKING" -0.269120403464138
14 "WALKING_DOWNSTAIRS" 0.0481441883304842
14 "WALKING_UPSTAIRS" -0.07960989838377
15 "LAYING" -0.632206083409712
15 "SITTING" -0.663184388400401
15 "STANDING" -0.648370425323344
15 "WALKING" -0.286620069799807
15 "WALKING_DOWNSTAIRS" -0.0675771015784044
15 "WALKING_UPSTAIRS" -0.260097764029204
16 "LAYING" -0.642641278905244
16 "SITTING" -0.664095303946349
16 "STANDING" -0.658857184183921
